ЛР 5
Билатеральная фильтрация результата path tracing

Суммарная яркость по объектам:
object_id; noisy; filtered; filtered-noisy
1; 3478.951942; 3478.951942; 0.000000
2; 4885.599600; 4885.599600; -0.000000
3; 687.523497; 687.523497; -0.000000
4; 1141.151602; 1141.151602; 0.000000
5; 4028.027913; 4028.027913; 0.000000
8; 10988.392899; 10988.392899; -0.000000
9; 27815.904696; 27815.904696; -0.000000
10; 1056.687547; 1056.687547; -0.000000
11; 646.066601; 646.066601; -0.000000
12; 444.841907; 444.841907; -0.000000
13; 467.372611; 467.372611; 0.000000
14; 3649.923155; 3649.923155; 0.000000
